3630233563.84,20.54,20.33
3630233563.98,20.47,20.33
3630233564.10,20.42,20.33
3630233564.23,20.36,20.33
3630233564.37,20.30,20.33
3630233564.54,20.23,20.33
3630233564.69,20.18,20.33
3630233564.84,20.15,20.33
3630233564.97,20.14,20.33
3630233565.10,20.14,20.33
3630233565.22,20.12,20.33
3630233565.39,20.12,20.33
3630233565.51,20.15,20.33
3630233565.64,20.18,20.33
3630233565.77,20.19,20.33
3630233565.90,20.23,20.33
3630233566.03,20.24,20.33
3630233566.15,20.28,20.33
3630233566.27,20.31,20.33
3630233566.40,20.34,20.33
3630233566.54,20.37,20.33
3630233566.66,20.38,20.33
3630233566.80,20.40,20.33
3630233566.95,20.42,20.33
3630233567.08,20.43,20.33
3630233567.20,20.45,20.33
3630233567.33,20.43,20.33
3630233567.49,20.45,20.33
3630233567.61,20.43,20.33
3630233567.74,20.41,20.33
3630233567.87,20.39,20.33
3630233567.99,20.39,20.33
3630233568.10,20.37,20.33
3630233568.22,20.35,20.33
3630233568.69,20.32,20.33
3630233568.86,20.29,12.50
3630233569.00,20.06,12.50
3630233569.11,19.82,12.50
3630233569.22,19.63,12.50
3630233569.35,19.43,12.50
3630233569.47,19.20,12.50
3630233569.60,18.94,12.50
3630233569.72,18.75,12.50
3630233569.84,18.54,12.50
3630233569.96,18.33,12.50
3630233570.08,18.08,12.50
3630233570.19,17.88,12.50
3630233570.30,17.68,12.50
3630233570.47,17.39,12.50
3630233570.58,17.25,12.50
3630233570.69,17.04,12.50
3630233570.79,16.95,12.50
3630233570.89,16.70,12.50
3630233571.00,16.47,12.50
3630233571.10,16.43,12.50
3630233571.19,16.25,12.50
3630233571.29,16.11,12.50
3630233571.39,15.93,12.50
3630233571.49,15.77,12.50
3630233571.59,15.59,12.50
3630233571.69,15.45,12.50
3630233571.79,15.32,12.50
3630233571.90,15.20,12.50
3630233572.00,15.01,12.50
3630233572.11,14.83,12.50
3630233572.21,14.67,12.50
3630233572.32,14.58,12.50
3630233572.44,14.41,12.50
3630233572.55,14.24,12.50
3630233572.66,14.07,12.50
3630233572.77,13.96,12.50
3630233572.88,13.81,12.50
3630233573.00,13.64,12.50
3630233573.13,13.49,12.50
3630233573.23,13.29,12.50
3630233573.33,13.21,12.50
3630233573.44,13.06,12.50
3630233573.56,12.93,12.50
3630233573.69,12.77,12.50
3630233573.80,12.60,12.50
3630233573.91,12.46,12.50
3630233574.03,12.33,12.50
3630233574.17,12.21,12.50
3630233574.31,12.10,12.50
3630233574.55,12.02,12.50
3630233574.70,11.95,12.50
3630233574.88,11.93,12.50
3630233575.00,11.93,12.50
3630233575.09,11.97,12.50
3630233575.23,12.02,12.50
3630233575.35,12.07,12.50
